Number of nodes,Activation,Batch type,Learning rate,Iterations,Train,Dev,Train time
3,sigmoid,one batch,0.6,100000,95.06,94.0,16.735156774520874
3,sigmoid,one batch,0.1,100,50.62,47.5,0.017033100128173828
3,sigmoid,one batch,0.1,1000,83.5,85.5,0.15658044815063477
3,sigmoid,one batch,0.1,10000,85.69,87.25,1.6139979362487793
3,sigmoid,one batch,0.1,100000,95.19,94.0,16.336517333984375
3,sigmoid,one batch,0.01,100,50.62,47.5,0.02263951301574707
3,sigmoid,one batch,0.01,1000,50.62,47.5,0.1606125831604004
3,sigmoid,one batch,0.01,10000,83.5,85.75,1.566636085510254
3,sigmoid,one batch,0.01,100000,85.69,87.25,16.436681032180786
3,sigmoid,one batch,0.001,100,49.38,52.5,0.01603531837463379
3,sigmoid,one batch,0.001,1000,50.62,47.5,0.16079235076904297
3,sigmoid,one batch,0.001,10000,50.62,47.5,1.655336618423462
3,sigmoid,one batch,0.001,100000,83.5,85.75,16.045323371887207
3,relu,one batch,1.2,100,85.62,87.75,0.01799917221069336
3,relu,one batch,1.2,1000,85.62,87.75,0.1536850929260254
3,relu,one batch,1.2,10000,85.62,87.75,1.6053133010864258
3,relu,one batch,1.2,100000,85.56,87.75,15.007343053817749
3,relu,one batch,0.6,100,85.62,87.75,0.0190279483795166
3,relu,one batch,0.6,1000,85.62,87.75,0.16613554954528809
3,relu,one batch,0.6,10000,85.62,87.75,1.5001628398895264
3,relu,one batch,0.6,100000,85.62,87.75,14.845103979110718
3,relu,one batch,0.1,100,73.38,71.25,0.019031047821044922
3,relu,one batch,0.1,1000,85.69,87.75,0.17611956596374512
3,relu,one batch,0.1,10000,85.62,87.75,1.5404424667358398
3,relu,one batch,0.1,100000,85.62,87.75,14.835251331329346
3,relu,one batch,0.01,100,50.62,47.5,0.018069982528686523
3,relu,one batch,0.01,1000,74.94,72.25,0.18376970291137695
3,relu,one batch,0.01,10000,85.69,87.75,1.8065965175628662
3,relu,one batch,0.01,100000,85.62,87.75,15.479484796524048
3,relu,one batch,0.001,100,50.62,47.5,0.02103257179260254
3,relu,one batch,0.001,1000,50.62,47.5,0.18418002128601074
3,relu,one batch,0.001,10000,75.44,72.25,1.882596492767334
3,relu,one batch,0.001,100000,85.69,87.75,18.06382179260254
4,tanh,one batch,1.2,100,85.69,87.5,0.054035186767578125
4,tanh,one batch,1.2,1000,92.12,92.25,0.52797532081604
4,tanh,one batch,1.2,10000,95.06,93.75,5.4237658977508545
4,tanh,one batch,1.2,100000,95.0,94.0,54.0607373714447
4,tanh,one batch,0.6,100,85.56,87.5,0.053031206130981445
4,tanh,one batch,0.6,1000,85.56,87.25,0.529627799987793
4,tanh,one batch,0.6,10000,95.12,93.75,5.370766878128052
4,tanh,one batch,0.6,100000,95.0,93.25,54.856053829193115
4,tanh,one batch,0.1,100,78.88,80.75,0.05199742317199707
4,tanh,one batch,0.1,1000,85.69,87.5,0.5391464233398438
4,tanh,one batch,0.1,10000,85.62,87.25,5.304741859436035
4,tanh,one batch,0.1,100000,95.12,93.5,56.72832131385803
4,tanh,one batch,0.01,100,50.62,47.5,0.0570225715637207
4,tanh,one batch,0.01,1000,79.19,80.5,0.538238525390625
4,tanh,one batch,0.01,10000,85.69,87.5,5.716446876525879
4,tanh,one batch,0.01,100000,85.62,87.25,53.314817667007446
4,tanh,one batch,0.001,100,50.62,47.5,0.05107259750366211
4,tanh,one batch,0.001,1000,50.62,47.5,0.5190138816833496
4,tanh,one batch,0.001,10000,79.25,80.75,5.214410066604614
4,tanh,one batch,0.001,100000,85.69,87.5,52.86552953720093
4,sigmoid,one batch,1.2,100,84.62,86.25,0.017031431198120117
